"","STATE","EVTYPE","Year","Month","FATALITIES","INJURIES","PROPDMG","CROPDMG"
"1","AR","TORNADO",1950,"Jan",1,1,2.5,0
"2","IL","TORNADO",1950,"Jan",0,3,750,0
"3","MO","TORNADO",1950,"Jan",0,8,252.5,0
"4","OH","TORNADO",1950,"Jan",0,1,25,0
"5","TX","TORNADO",1950,"Jan",0,2,0,0
"6","CA","TORNADO",1951,"Jan",0,0,2.5,0
"7","LA","TORNADO",1951,"Jan",0,11,500,0
"8","AL","TORNADO",1952,"Jan",0,0,2.5,0
"9","AR","TORNADO",1952,"Jan",0,0,50,0
"10","FL","TORNADO",1952,"Jan",0,3,50,0
"11","GA","TORNADO",1952,"Jan",0,12,827.5,0
"12","PA","TORNADO",1952,"Jan",0,0,250,0
"13","AL","TORNADO",1953,"Jan",0,2,80,0
"14","AR","TORNADO",1953,"Jan",0,2,2.5,0
"15","FL","TORNADO",1953,"Jan",0,12,50.25,0
"16","GA","TORNADO",1953,"Jan",0,2,50,0
"17","MS","TORNADO",1953,"Jan",0,1,500,0
"18","SC","TORNADO",1953,"Jan",0,2,250,0
"19","TN","TORNADO",1953,"Jan",0,0,25,0
"20","MS","TORNADO",1954,"Jan",0,2,52.5,0
"21","TX","HAIL",1955,"Jan",0,0,0,0
"22","CA","TORNADO",1955,"Jan",0,0,2.5,0
"23","FL","TORNADO",1955,"Jan",0,0,0.25,0
"24","OK","TORNADO",1955,"Jan",0,0,0,0
"25","LA","HAIL",1956,"Jan",0,0,0,0
"26","TX","HAIL",1956,"Jan",0,0,0,0
"27","AR","TORNADO",1956,"Jan",0,12,75,0
"28","GA","TORNADO",1956,"Jan",0,0,0.03,0
"29","LA","TSTM WIND",1956,"Jan",0,0,0,0
"30","TN","TSTM WIND",1956,"Jan",0,0,0,0
"31","OK","HAIL",1957,"Jan",0,0,0,0
"32","TX","HAIL",1957,"Jan",0,0,0,0
"33","VA","HAIL",1957,"Jan",0,0,0,0
"34","AR","TORNADO",1957,"Jan",0,0,50.25,0
"35","HI","TORNADO",1957,"Jan",0,0,25,0
"36","KY","TORNADO",1957,"Jan",0,0,25,0
"37","LA","TORNADO",1957,"Jan",3,9,250,0
"38","MO","TORNADO",1957,"Jan",0,1,25,0
"39","NC","TORNADO",1957,"Jan",0,0,2.5,0
"40","OK","TORNADO",1957,"Jan",10,20,352.5,0
"41","TN","TORNADO",1957,"Jan",0,4,302.5,0
"42","CA","TSTM WIND",1957,"Jan",0,0,0,0
"43","MO","TSTM WIND",1957,"Jan",0,0,0,0
"44","MS","TSTM WIND",1957,"Jan",0,0,0,0
"45","VA","TSTM WIND",1957,"Jan",0,0,0,0
"46","LA","HAIL",1958,"Jan",0,0,0,0
"47","AL","TORNADO",1958,"Jan",0,0,2.5,0
"48","CA","TORNADO",1958,"Jan",0,0,0,0
"49","FL","TORNADO",1958,"Jan",0,1,0.37,0
"50","GA","TORNADO",1958,"Jan",0,16,500,0
"51","TX","TORNADO",1958,"Jan",0,0,5,0
"52","FL","TSTM WIND",1958,"Jan",0,0,0,0
"53","GA","TSTM WIND",1958,"Jan",0,0,0,0
"54","OK","HAIL",1959,"Jan",0,0,0,0
"55","TN","HAIL",1959,"Jan",0,0,0,0
"56","AL","TORNADO",1959,"Jan",0,0,25,0
"57","KY","TORNADO",1959,"Jan",3,0,250,0
"58","LA","TORNADO",1959,"Jan",0,0,2.5,0
"59","MS","TORNADO",1959,"Jan",0,2,677.75,0
"60","NC","TORNADO",1959,"Jan",0,0,50,0
"61","TN","TORNADO",1959,"Jan",0,3,250,0
"62","AL","TSTM WIND",1959,"Jan",0,0,0,0
"63","FL","TSTM WIND",1959,"Jan",0,0,0,0
"64","GA","TSTM WIND",1959,"Jan",0,0,0,0
"65","KY","TSTM WIND",1959,"Jan",0,0,0,0
"66","LA","TSTM WIND",1959,"Jan",0,0,0,0
"67","MS","TSTM WIND",1959,"Jan",0,0,0,0
"68","NC","TSTM WIND",1959,"Jan",0,0,0,0
